product_category_name,product_category_name_english
beleza_saude,health_beauty
relogios_presentes,watches_gifts
cama_mesa_banho,bed_bath_table
esporte_lazer,sports_leisure
informatica_acessorios,computers_accessories
moveis_decoracao,furniture_decor
utilidades_domesticas,housewares
cool_stuff,cool_stuff
automotivo,auto
ferramentas_jardim,garden_tools
brinquedos,toys
bebes,baby
perfumaria,perfumery
telefonia,telephony
moveis_escritorio,office_furniture
papelaria,stationery
pet_shop,pet_shop
eletronicos,electronics
consoles_games,consoles_games
fashion_bolsas_e_acessorios,fashion_bags_accessories
