order_month,orders,revenue,avg_order_value
2017-01-01,750,127482.0,169.98
2017-02-01,1653,271239.0,164.09
2017-03-01,2546,414331.0,162.74
2017-04-01,2303,390812.0,169.7
2017-05-01,3545,566657.0,159.85
2017-06-01,3135,490050.0,156.32
2017-07-01,3872,566299.0,146.25
2017-08-01,4193,645832.0,154.03
2017-09-01,4150,701077.0,168.93
2017-10-01,4478,751117.0,167.73
2017-11-01,7288,1153229.0,158.24
2017-12-01,5513,843078.0,152.93
2018-01-01,7069,1077887.0,152.48
2018-02-01,6555,966168.0,147.39
2018-03-01,7003,1120598.0,160.02
2018-04-01,6798,1132879.0,166.65
2018-05-01,6749,1128775.0,167.25
2018-06-01,6096,1011449.0,165.92
2018-07-01,6156,1027287.0,166.88
2018-08-01,6351,985492.0,155.17
