category,orders,revenue,avg_item_price,avg_review
health_beauty,8610,1229558.0,130.5,4.19
watches_gifts,5489,1163188.0,198.73,4.07
bed_bath_table,9267,1022956.0,93.46,3.92
sports_leisure,7512,952661.0,113.24,4.16
computers_accessories,6517,887945.0,116.36,3.99
furniture_decor,6258,706237.0,87.24,3.96
housewares,5734,614342.0,90.57,4.11
cool_stuff,3552,609158.0,164.15,4.2
auto,3801,577721.0,139.85,4.12
garden_tools,3443,469135.0,110.05,4.08
toys,3781,466991.0,116.6,4.21
baby,2800,399051.0,134.32,4.08
perfumery,3060,385316.0,116.37,4.22
telephony,4086,309632.0,70.02,3.99
office_furniture,1248,266853.0,160.56,3.52
