weekday,dow,hour,orders
Monday,1,0,314
Monday,1,1,132
Monday,1,2,62
Monday,1,3,34
Monday,1,4,19
Monday,1,5,22
Monday,1,6,64
Monday,1,7,155
Monday,1,8,470
Monday,1,9,750
Monday,1,10,996
Monday,1,11,1048
Monday,1,12,941
Monday,1,13,999
Monday,1,14,1061
Monday,1,15,1041
Monday,1,16,1055
Monday,1,17,953
Monday,1,18,889
Monday,1,19,920
Monday,1,20,998
Monday,1,21,1082
Monday,1,22,958
Monday,1,23,697
Tuesday,2,0,300
Tuesday,2,1,151
Tuesday,2,2,79
Tuesday,2,3,28
Tuesday,2,4,28
Tuesday,2,5,24
Tuesday,2,6,69
Tuesday,2,7,216
Tuesday,2,8,510
Tuesday,2,9,842
Tuesday,2,10,938
Tuesday,2,11,1022
Tuesday,2,12,872
Tuesday,2,13,1003
Tuesday,2,14,1091
Tuesday,2,15,999
Tuesday,2,16,1054
Tuesday,2,17,940
Tuesday,2,18,849
Tuesday,2,19,890
Tuesday,2,20,945
Tuesday,2,21,992
Tuesday,2,22,935
Tuesday,2,23,671
Wednesday,3,0,384
Wednesday,3,1,171
Wednesday,3,2,81
Wednesday,3,3,31
Wednesday,3,4,33
Wednesday,3,5,24
Wednesday,3,6,90
Wednesday,3,7,207
Wednesday,3,8,493
Wednesday,3,9,796
Wednesday,3,10,1007
Wednesday,3,11,1026
Wednesday,3,12,893
Wednesday,3,13,989
Wednesday,3,14,1025
Wednesday,3,15,950
Wednesday,3,16,1007
Wednesday,3,17,939
Wednesday,3,18,818
Wednesday,3,19,821
Wednesday,3,20,877
Wednesday,3,21,926
Wednesday,3,22,852
Wednesday,3,23,599
Thursday,4,0,344
Thursday,4,1,165
Thursday,4,2,73
Thursday,4,3,38
Thursday,4,4,30
Thursday,4,5,28
Thursday,4,6,82
Thursday,4,7,209
Thursday,4,8,493
Thursday,4,9,733
Thursday,4,10,953
Thursday,4,11,926
Thursday,4,12,936
Thursday,4,13,950
Thursday,4,14,950
Thursday,4,15,899
Thursday,4,16,1039
Thursday,4,17,878
Thursday,4,18,756
Thursday,4,19,796
Thursday,4,20,813
Thursday,4,21,826
Thursday,4,22,832
Thursday,4,23,531
Friday,5,0,411
Friday,5,1,210
Friday,5,2,65
Friday,5,3,46
Friday,5,4,39
Friday,5,5,35
Friday,5,6,91
Friday,5,7,203
Friday,5,8,485
Friday,5,9,752
Friday,5,10,919
Friday,5,11,957
Friday,5,12,826
Friday,5,13,968
Friday,5,14,933
Friday,5,15,947
Friday,5,16,941
Friday,5,17,788
Friday,5,18,697
Friday,5,19,755
Friday,5,20,714
Friday,5,21,697
Friday,5,22,672
Friday,5,23,494
Saturday,6,0,308
Saturday,6,1,166
Saturday,6,2,64
Saturday,6,3,41
Saturday,6,4,24
Saturday,6,5,23
Saturday,6,6,51
Saturday,6,7,102
Saturday,6,8,243
Saturday,6,9,419
Saturday,6,10,631
Saturday,6,11,685
Saturday,6,12,667
Saturday,6,13,685
Saturday,6,14,648
Saturday,6,15,696
Saturday,6,16,675
Saturday,6,17,672
Saturday,6,18,691
Saturday,6,19,729
Saturday,6,20,705
Saturday,6,21,641
Saturday,6,22,532
Saturday,6,23,421
Sunday,7,0,256
Sunday,7,1,137
Sunday,7,2,68
Sunday,7,3,41
Sunday,7,4,27
Sunday,7,5,26
Sunday,7,6,30
Sunday,7,7,102
Sunday,7,8,202
Sunday,7,9,341
Sunday,7,10,513
Sunday,7,11,703
Sunday,7,12,651
Sunday,7,13,699
Sunday,7,14,660
Sunday,7,15,695
Sunday,7,16,688
Sunday,7,17,776
Sunday,7,18,875
Sunday,7,19,881
Sunday,7,20,944
Sunday,7,21,862
Sunday,7,22,848
Sunday,7,23,587
